id	gocat	goterm	goid
sll0671	M	magnesium ion transmembrane transporter activity	GO:0015095
sll0671	M	metal ion transmembrane transporter activity	GO:0046873
sll0672	B	ATP biosynthetic process	GO:0006754
sll0672	B	cation transport	GO:0006812
sll0672	B	metabolic process	GO:0008152
sll0672	C	membrane	GO:0016020
sll0672	M	ATP binding	GO:0005524
sll0672	M	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism	GO:0015662
sll0672	M	catalytic activity	GO:0003824
sll0672	M	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	GO:0016820
sll0677	B	transposition, DNA-mediated	GO:0006313
sll0677	M	DNA binding	GO:0003677
sll0677	M	transposase activity	GO:0004803
sll0679	B	transport	GO:0006810
sll0680	B	phosphate transport	GO:0006817
sll0680	B	transport	GO:0006810
sll0680	M	inorganic phosphate transmembrane transporter activity	GO:0005315
sll0680	M	phosphate transmembrane transporter activity	GO:0015114
sll0680	M	transporter activity	GO:0005215
sll0681	B	phosphate transport	GO:0006817
sll0681	B	transport	GO:0006810
sll0681	C	integral to membrane	GO:0016021
sll0681	C	membrane	GO:0016020
sll0681	M	inorganic phosphate transmembrane transporter activity	GO:0005315
sll0681	M	transporter activity	GO:0005215
sll0682	B	phosphate transport	GO:0006817
sll0682	B	transport	GO:0006810
sll0682	C	membrane	GO:0016020
sll0682	M	inorganic phosphate transmembrane transporter activity	GO:0005315
sll0682	M	phosphate transmembrane transporter activity	GO:0015114
sll0682	M	transporter activity	GO:0005215
sll0683	B	phosphate transport	GO:0006817
sll0683	C	membrane	GO:0016020
sll0683	M	ATP binding	GO:0005524
sll0683	M	ATPase activity	GO:0016887
sll0683	M	inorganic phosphate transmembrane transporter activity	GO:0005315
sll0683	M	nucleoside-triphosphatase activity	GO:0017111
sll0683	M	nucleotide binding	GO:0000166
sll0683	M	phosphate transmembrane transporter activity	GO:0015114
sll0683	M	phosphate transmembrane-transporting ATPase activity	GO:0015415
sll0684	B	phosphate transport	GO:0006817
sll0684	C	membrane	GO:0016020
sll0684	M	ATP binding	GO:0005524
sll0684	M	ATPase activity	GO:0016887
sll0684	M	inorganic phosphate transmembrane transporter activity	GO:0005315
sll0684	M	nucleoside-triphosphatase activity	GO:0017111
sll0684	M	nucleotide binding	GO:0000166
sll0684	M	phosphate transmembrane transporter activity	GO:0015114
sll0684	M	phosphate transmembrane-transporting ATPase activity	GO:0015415
sll0685	B	cell redox homeostasis	GO:0045454
sll0686	B	cytochrome complex assembly	GO:0017004
sll0686	B	oxidation reduction	GO:0055114
sll0686	C	membrane	GO:0016020
sll0687	B	regulation of transcription, DNA-dependent	GO:0006355
sll0687	B	transcription initiation	GO:0006352
sll0687	M	DNA binding	GO:0003677
sll0687	M	sigma factor activity	GO:0016987
sll0687	M	transcription factor activity	GO:0003700
sll0688	C	integral to membrane	GO:0016021
sll0688	C	plasma membrane	GO:0005886
sll0689	B	cation transport	GO:0006812
sll0689	B	transmembrane transport	GO:0055085
sll0689	C	integral to membrane	GO:0016021
sll0689	M	solute:hydrogen antiporter activity	GO:0015299
sll0696	C	membrane	GO:0016020
sll0698	B	peptidyl-histidine phosphorylation	GO:0018106
sll0698	B	phosphorylation	GO:0016310
sll0698	B	regulation of transcription, DNA-dependent	GO:0006355
sll0698	B	signal transduction	GO:0007165
sll0698	C	integral to membrane	GO:0016021
sll0698	C	membrane	GO:0016020
sll0698	M	ATP binding	GO:0005524
sll0698	M	protein histidine kinase activity	GO:0004673
sll0698	M	signal transducer activity	GO:0004871
sll0698	M	transferase activity, transferring phosphorus-containing groups	GO:0016772
sll0698	M	two-component sensor activity	GO:0000155
sll0703	B	oxidation reduction	GO:0055114
sll0703	M	FAD binding	GO:0050660
sll0703	M	oxidoreductase activity	GO:0016491
sll0704	B	metabolic process	GO:0008152
sll0704	M	catalytic activity	GO:0003824
sll0704	M	pyridoxal phosphate binding	GO:0030170
sll0708	B	rRNA modification	GO:0000154
sll0708	B	rRNA processing	GO:0006364
sll0708	M	rRNA (adenine) methyltransferase activity	GO:0016433
sll0708	M	rRNA (adenine-N6,N6-)-dimethyltransferase activity	GO:0000179
sll0708	M	rRNA methyltransferase activity	GO:0008649
sll0711	B	phosphorylation	GO:0016310
sll0711	B	terpenoid biosynthetic process	GO:0016114
sll0711	M	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity	GO:0050515
sll0711	M	ATP binding	GO:0005524
sll0711	M	kinase activity	GO:0016301
sll0712	B	cysteine biosynthetic process from serine	GO:0006535
sll0712	B	metabolic process	GO:0008152
sll0712	M	catalytic activity	GO:0003824
sll0712	M	pyridoxal phosphate binding	GO:0030170
sll0716	B	proteolysis	GO:0006508
sll0716	C	integral to membrane	GO:0016021
sll0716	C	membrane	GO:0016020
sll0716	M	serine-type peptidase activity	GO:0008236
sll0720	B	toxin metabolic process	GO:0009404
sll0720	C	cytoplasm	GO:0005737
sll0720	M	acyltransferase activity	GO:0008415
sll0721	M	calcium ion binding	GO:0005509
sll0723	M	calcium ion binding	GO:0005509
sll0726	B	carbohydrate metabolic process	GO:0005975
sll0726	M	intramolecular transferase activity, phosphotransferases	GO:0016868
sll0726	M	magnesium ion binding	GO:0000287
sll0726	M	phosphoglucomutase activity	GO:0004614
sll0728	B	fatty acid biosynthetic process	GO:0006633
sll0728	C	acetyl-CoA carboxylase complex	GO:0009317
sll0728	M	acetyl-CoA carboxylase activity	GO:0003989
sll0728	M	ligase activity	GO:0016874
sll0729	B	DNA methylation	GO:0006306
sll0729	M	DNA binding	GO:0003677
sll0729	M	site-specific DNA-methyltransferase (adenine-specific) activity	GO:0009007
sll0735	B	carbohydrate metabolic process	GO:0005975
sll0735	M	catalytic activity	GO:0003824
sll0737	M	binding	GO:0005488
sll0738	B	molybdate ion transport	GO:0015689
sll0738	B	transport	GO:0006810
sll0738	C	outer membrane-bounded periplasmic space	GO:0030288
sll0738	M	molybdate transmembrane-transporting ATPase activity	GO:0015412
sll0738	M	transporter activity	GO:0005215
sll0739	B	molybdate ion transport	GO:0015689
sll0739	B	transport	GO:0006810
sll0739	C	integral to membrane	GO:0016021
sll0739	C	membrane	GO:0016020
sll0739	M	ATP binding	GO:0005524
sll0739	M	ATPase activity	GO:0016887
sll0739	M	molybdate ion transmembrane transporter activity	GO:0015098
sll0739	M	nucleoside-triphosphatase activity	GO:0017111
sll0739	M	nucleotide binding	GO:0000166
sll0739	M	transporter activity	GO:0005215
sll0741	B	metabolic process	GO:0008152
sll0741	B	oxidation reduction	GO:0055114
sll0741	M	catalytic activity	GO:0003824
sll0741	M	electron carrier activity	GO:0009055
sll0741	M	iron ion binding	GO:0005506
sll0741	M	iron-sulfur cluster binding	GO:0051536
sll0741	M	oxidoreductase activity	GO:0016491
sll0741	M	oxidoreductase activity, acting on the aldehyde or oxo group of donors	GO:0016903
sll0741	M	thiamin pyrophosphate binding	GO:0030976
sll0744	B	UMP biosynthetic process	GO:0006222
sll0744	B	metabolic process	GO:0008152
sll0744	B	oxidation reduction	GO:0055114
sll0744	M	catalytic activity	GO:0003824
sll0744	M	dihydroorotate dehydrogenase activity	GO:0004152
sll0745	B	fructose 6-phosphate metabolic process	GO:0006002
sll0745	B	glycolysis	GO:0006096
sll0745	C	6-phosphofructokinase complex	GO:0005945
sll0745	M	6-phosphofructokinase activity	GO:0003872
sll0745	M	ATP binding	GO:0005524
sll0745	M	phosphofructokinase activity	GO:0008443
sll0750	B	peptidyl-histidine phosphorylation	GO:0018106
sll0750	B	phosphorylation	GO:0016310
sll0750	B	rhythmic process	GO:0048511
sll0750	B	signal transduction	GO:0007165
sll0750	C	membrane	GO:0016020
sll0750	M	ATP binding	GO:0005524
sll0750	M	protein histidine kinase activity	GO:0004673
sll0750	M	signal transducer activity	GO:0004871
sll0750	M	transferase activity, transferring phosphorus-containing groups	GO:0016772
sll0750	M	two-component sensor activity	GO:0000155
sll0753	B	folic acid and derivative biosynthetic process	GO:0009396
sll0753	B	metabolic process	GO:0008152
sll0753	M	binding	GO:0005488
sll0753	M	catalytic activity	GO:0003824
sll0754	B	rRNA processing	GO:0006364
sll0755	B	cell redox homeostasis	GO:0045454
sll0755	M	antioxidant activity	GO:0016209
sll0755	M	oxidoreductase activity	GO:0016491
sll0757	B	metabolic process	GO:0008152
sll0757	B	nucleoside metabolic process	GO:0009116
sll0757	B	purine base biosynthetic process	GO:0009113
sll0757	M	amidophosphoribosyltransferase activity	GO:0004044
sll0759	M	ATP binding	GO:0005524
sll0759	M	ATPase activity	GO:0016887
sll0759	M	nucleoside-triphosphatase activity	GO:0017111
sll0759	M	nucleotide binding	GO:0000166
sll0760	B	transport	GO:0006810
sll0760	C	membrane	GO:0016020
sll0760	M	ATP binding	GO:0005524
sll0760	M	ATPase activity, coupled to transmembrane movement of substances	GO:0042626
sll0764	M	ATP binding	GO:0005524
sll0764	M	ATPase activity	GO:0016887
sll0764	M	nucleoside-triphosphatase activity	GO:0017111
sll0764	M	nucleotide binding	GO:0000166
sll0766	B	DNA repair	GO:0006281
sll0766	M	DNA binding	GO:0003677
sll0767	B	translation	GO:0006412
sll0767	C	intracellular	GO:0005622
sll0767	C	ribosome	GO:0005840
sll0767	M	rRNA binding	GO:0019843
sll0767	M	structural constituent of ribosome	GO:0003735
sll0771	B	transmembrane transport	GO:0055085
sll0771	B	transport	GO:0006810
sll0771	C	membrane	GO:0016020
sll0771	M	substrate-specific transmembrane transporter activity	GO:0022891
sll0771	M	transporter activity	GO:0005215
sll0772	B	transport	GO:0006810
sll0772	C	integral to membrane	GO:0016021
sll0772	M	transporter activity	GO:0005215
sll0776	B	protein amino acid phosphorylation	GO:0006468
sll0776	M	ATP binding	GO:0005524
sll0776	M	protein kinase activity	GO:0004672
sll0776	M	protein serine/threonine kinase activity	GO:0004674
sll0777	B	proteolysis	GO:0006508
sll0777	M	peptidase activity	GO:0008233
sll0778	C	membrane	GO:0016020
sll0778	M	ATP binding	GO:0005524
sll0778	M	ATPase activity	GO:0016887
sll0778	M	nucleoside-triphosphatase activity	GO:0017111
sll0778	M	nucleotide binding	GO:0000166
sll0779	B	regulation of transcription, DNA-dependent	GO:0006355
sll0779	B	signal transduction	GO:0007165
sll0779	B	two-component signal transduction system (phosphorelay)	GO:0000160
sll0779	M	signal transducer activity	GO:0004871
sll0779	M	two-component sensor activity	GO:0000155
sll0782	B	regulation of transcription, DNA-dependent	GO:0006355
sll0782	B	two-component signal transduction system (phosphorelay)	GO:0000160
sll0782	C	intracellular	GO:0005622
sll0782	M	DNA binding	GO:0003677
sll0782	M	sequence-specific DNA binding	GO:0043565
sll0782	M	transcription factor activity	GO:0003700
sll0782	M	two-component response regulator activity	GO:0000156
sll0784	B	intracellular signaling cascade	GO:0007242
sll0784	B	lipid metabolic process	GO:0006629
sll0784	B	nitrogen compound metabolic process	GO:0006807
sll0784	M	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	GO:0016810
sll0784	M	phospholipase C activity	GO:0004629
sll0785	B	metabolic process	GO:0008152
sll0785	M	catalytic activity	GO:0003824
sll0785	M	iron-sulfur cluster binding	GO:0051536
sll0786	B	metabolic process	GO:0008152
sll0786	M	N-acetyltransferase activity	GO:0008080
sll0787	M	catalytic activity	GO:0003824
sll0789	B	regulation of transcription, DNA-dependent	GO:0006355
sll0789	B	two-component signal transduction system (phosphorelay)	GO:0000160
sll0789	M	DNA binding	GO:0003677
sll0789	M	two-component response regulator activity	GO:0000156
sll0790	B	peptidyl-histidine phosphorylation	GO:0018106
sll0790	B	phosphorylation	GO:0016310
sll0790	B	signal transduction	GO:0007165
sll0790	C	membrane	GO:0016020
sll0790	M	ATP binding	GO:0005524
sll0790	M	protein histidine kinase activity	GO:0004673
sll0790	M	signal transducer activity	GO:0004871
sll0790	M	transferase activity, transferring phosphorus-containing groups	GO:0016772
sll0790	M	two-component sensor activity	GO:0000155
sll0792	B	regulation of transcription, DNA-dependent	GO:0006355
sll0792	C	intracellular	GO:0005622
sll0792	M	transcription factor activity	GO:0003700
sll0793	C	membrane	GO:0016020
sll0794	B	cobalamin biosynthetic process	GO:0009236
sll0794	B	regulation of transcription, DNA-dependent	GO:0006355
sll0794	M	nucleotide binding	GO:0000166
sll0794	M	precorrin-8X methylmutase activity	GO:0016993
sll0794	M	transcription factor activity	GO:0003700
sll0797	B	regulation of transcription, DNA-dependent	GO:0006355
sll0797	B	two-component signal transduction system (phosphorelay)	GO:0000160
sll0797	C	intracellular	GO:0005622
sll0797	M	DNA binding	GO:0003677
sll0797	M	two-component response regulator activity	GO:0000156
sll0798	B	peptidyl-histidine phosphorylation	GO:0018106
sll0798	B	phosphorylation	GO:0016310
sll0798	B	signal transduction	GO:0007165
sll0798	C	membrane	GO:0016020
sll0798	M	ATP binding	GO:0005524
sll0798	M	protein histidine kinase activity	GO:0004673
sll0798	M	signal transducer activity	GO:0004871
sll0798	M	transferase activity, transferring phosphorus-containing groups	GO:0016772
sll0798	M	two-component sensor activity	GO:0000155
sll0804	C	intracellular	GO:0005622
sll0804	M	GTP binding	GO:0005525
sll0807	B	carbohydrate metabolic process	GO:0005975
sll0807	B	metabolic process	GO:0008152
sll0807	M	catalytic activity	GO:0003824
sll0807	M	ribulose-phosphate 3-epimerase activity	GO:0004750
sll0809	B	protein modification process	GO:0006464
sll0809	M	catalytic activity	GO:0003824
sll0811	M	nucleic acid binding	GO:0003676
sll0813	B	electron transport chain	GO:0022900
sll0813	B	respiratory electron transport chain	GO:0022904
sll0813	C	integral to membrane	GO:0016021
sll0813	C	membrane	GO:0016020
sll0813	M	copper ion binding	GO:0005507
sll0813	M	cytochrome-c oxidase activity	GO:0004129
sll0813	M	electron carrier activity	GO:0009055
sll0813	M	heme binding	GO:0020037
sll0816	B	metabolic process	GO:0008152
sll0816	B	oxidation reduction	GO:0055114
sll0816	M	binding	GO:0005488
sll0816	M	catalytic activity	GO:0003824
sll0816	M	oxidoreductase activity	GO:0016491
sll0817	B	tRNA processing	GO:0008033
sll0817	M	ATP binding	GO:0005524
sll0817	M	tRNA isopentenyltransferase activity	GO:0004811
sll0818	B	metabolic process	GO:0008152
sll0818	M	methyltransferase activity	GO:0008168
sll0819	B	photosynthesis	GO:0015979
sll0819	C	photosystem I reaction center	GO:0009538
sll0821	B	protein-chromophore linkage	GO:0018298
sll0821	B	regulation of transcription	GO:0045449
sll0821	B	regulation of transcription, DNA-dependent	GO:0006355
sll0821	B	sensory perception	GO:0007600
sll0821	M	G-protein coupled photoreceptor activity	GO:0008020
sll0821	M	receptor activity	GO:0004872
sll0823	B	oxidation reduction	GO:0055114
sll0823	B	tricarboxylic acid cycle	GO:0006099
sll0823	M	electron carrier activity	GO:0009055
sll0823	M	iron-sulfur cluster binding	GO:0051536
sll0823	M	oxidoreductase activity	GO:0016491
sll0825	B	RNA processing	GO:0006396
sll0825	M	RNA binding	GO:0003723
sll0825	M	nucleotidyltransferase activity	GO:0016779
sll0828	M	carbon-nitrogen ligase activity, with glutamine as amido-N-donor	GO:0016884
sll0829	B	metabolic process	GO:0008152
sll0829	M	methyltransferase activity	GO:0008168
sll0830	M	GTP binding	GO:0005525
sll0830	M	GTPase activity	GO:0003924
sll0832	B	DNA recombination	GO:0006310
sll0832	B	DNA repair	GO:0006281
sll0832	B	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	GO:0006139
sll0832	B	response to DNA damage stimulus	GO:0006974
sll0832	C	cytoplasm	GO:0005737
sll0832	M	hydrolase activity, acting on ester bonds	GO:0016788
sll0832	M	nucleic acid binding	GO:0003676
sll0833	B	transport	GO:0006810
sll0833	C	membrane	GO:0016020
sll0833	M	transporter activity	GO:0005215
sll0834	B	transmembrane transport	GO:0055085
sll0834	B	transport	GO:0006810
sll0834	C	integral to membrane	GO:0016021
sll0834	M	transporter activity	GO:0005215
sll0837	M	binding	GO:0005488
sll0838	B	'de novo' pyrimidine base biosynthetic process	GO:0006207
sll0838	B	metabolic process	GO:0008152
sll0838	M	catalytic activity	GO:0003824
sll0838	M	orotidine-5'-phosphate decarboxylase activity	GO:0004590
sll0842	B	carbohydrate metabolic process	GO:0005975
sll0842	M	catalytic activity	GO:0003824
sll0842	M	cation binding	GO:0043169
sll0844	B	tRNA processing	GO:0008033
sll0844	C	cytoplasm	GO:0005737
sll0844	M	transferase activity	GO:0016740
sll0848	B	DNA replication initiation	GO:0006270
sll0848	B	regulation of DNA replication	GO:0006275
sll0848	M	ATP binding	GO:0005524
sll0848	M	DNA binding	GO:0003677
sll0848	M	DNA replication origin binding	GO:0003688
sll0848	M	nucleoside-triphosphatase activity	GO:0017111
sll0848	M	nucleotide binding	GO:0000166
sll0848	M	sequence-specific DNA binding	GO:0043565
sll0849	B	photosynthesis, light reaction	GO:0019684
sll0849	B	photosynthetic electron transport in photosystem II	GO:0009772
sll0849	C	light-harvesting complex	GO:0030076
sll0849	C	membrane	GO:0016020
sll0849	C	plasma membrane light-harvesting complex	GO:0030077
sll0849	M	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity	GO:0045156
sll0851	B	photosynthesis, light reaction	GO:0019684
sll0851	B	photosynthetic electron transport chain	GO:0009767
sll0851	B	photosynthetic electron transport in photosystem II	GO:0009772
sll0851	C	light-harvesting complex	GO:0030076
sll0851	C	membrane	GO:0016020
sll0851	C	photosystem	GO:0009521
sll0851	M	chlorophyll binding	GO:0016168
sll0851	M	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity	GO:0045156
sll0855	B	chloride transport	GO:0006821
sll0855	B	transmembrane transport	GO:0055085
sll0855	C	membrane	GO:0016020
sll0855	M	ion channel activity	GO:0005216
sll0855	M	voltage-gated chloride channel activity	GO:0005247
sll0856	B	regulation of transcription, DNA-dependent	GO:0006355
sll0856	B	transcription initiation	GO:0006352
sll0856	M	DNA binding	GO:0003677
sll0856	M	sigma factor activity	GO:0016987
sll0856	M	transcription factor activity	GO:0003700
sll0858	C	periplasmic space	GO:0042597
sll0861	B	amino sugar catabolic process	GO:0046348
sll0861	B	carbohydrate metabolic process	GO:0005975
sll0861	M	carbon-oxygen lyase activity	GO:0016835
sll0861	M	sugar binding	GO:0005529
sll0862	B	proteolysis	GO:0006508
sll0862	M	metalloendopeptidase activity	GO:0004222
sll0865	B	DNA repair	GO:0006281
sll0865	B	nucleotide-excision repair	GO:0006289
sll0865	C	cytoplasm	GO:0005737
sll0865	C	excinuclease repair complex	GO:0009380
sll0865	C	intracellular	GO:0005622
sll0865	M	DNA binding	GO:0003677
sll0865	M	excinuclease ABC activity	GO:0009381
sll0865	M	nuclease activity	GO:0004518
sll0868	B	lipoate biosynthetic process	GO:0009107
sll0868	B	metabolic process	GO:0008152
sll0868	M	4 iron, 4 sulfur cluster binding	GO:0051539
sll0868	M	catalytic activity	GO:0003824
sll0868	M	iron-sulfur cluster binding	GO:0051536
sll0868	M	lipoate synthase activity	GO:0016992
sll0869	B	protein catabolic process	GO:0030163
sll0869	M	leucyltransferase activity	GO:0008914
sll0873	M	catalytic activity	GO:0003824
sll0876	B	DNA recombination	GO:0006310
sll0876	B	DNA repair	GO:0006281
sll0876	C	Holliday junction helicase complex	GO:0009379
sll0876	M	ATP binding	GO:0005524
sll0876	M	DNA binding	GO:0003677
sll0876	M	DNA helicase activity	GO:0003678
sll0876	M	four-way junction helicase activity	GO:0009378
sll0886	M	binding	GO:0005488
sll0891	B	carbohydrate metabolic process	GO:0005975
sll0891	B	cellular carbohydrate metabolic process	GO:0044262
sll0891	B	glycolysis	GO:0006096
sll0891	B	malate metabolic process	GO:0006108
sll0891	B	metabolic process	GO:0008152
sll0891	B	oxidation reduction	GO:0055114
sll0891	M	L-malate dehydrogenase activity	GO:0030060
sll0891	M	binding	GO:0005488
sll0891	M	catalytic activity	GO:0003824
sll0891	M	oxidoreductase activity	GO:0016491
sll0891	M	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	GO:0016616
sll0892	B	alanine biosynthetic process	GO:0006523
sll0892	M	aspartate 1-decarboxylase activity	GO:0004068
sll0892	M	binding	GO:0005488
sll0895	M	inositol or phosphatidylinositol phosphatase activity	GO:0004437
sll0896	B	DNA recombination	GO:0006310
sll0896	B	DNA repair	GO:0006281
sll0896	M	endodeoxyribonuclease activity	GO:0004520
sll0896	M	nucleic acid binding	GO:0003676
sll0897	B	protein folding	GO:0006457
sll0897	B	response to heat	GO:0009408
sll0897	M	ATP binding	GO:0005524
sll0897	M	heat shock protein binding	GO:0031072
sll0897	M	unfolded protein binding	GO:0051082
sll0898	M	GTP binding	GO:0005525
sll0898	M	GTPase activity	GO:0003924
sll0899	B	biosynthetic process	GO:0009058
sll0899	B	cell morphogenesis	GO:0000902
sll0899	B	lipopolysaccharide biosynthetic process	GO:0009103
sll0899	B	peptidoglycan biosynthetic process	GO:0009252
sll0899	C	cytoplasm	GO:0005737
sll0899	M	UDP-N-acetylglucosamine diphosphorylase activity	GO:0003977
sll0899	M	glucosamine-1-phosphate N-acetyltransferase activity	GO:0019134
sll0899	M	magnesium ion binding	GO:0000287
sll0899	M	nucleotidyltransferase activity	GO:0016779
sll0899	M	transferase activity	GO:0016740
sll0900	B	histidine biosynthetic process	GO:0000105
sll0900	C	cytoplasm	GO:0005737
sll0900	M	ATP phosphoribosyltransferase activity	GO:0003879
sll0901	B	'de novo' IMP biosynthetic process	GO:0006189
sll0901	M	phosphoribosylaminoimidazole carboxylase activity	GO:0004638
sll0902	B	cellular amino acid metabolic process	GO:0006520
sll0902	C	ornithine carbamoyltransferase complex	GO:0009348
sll0902	M	amino acid binding	GO:0016597
sll0902	M	carboxyl- or carbamoyltransferase activity	GO:0016743
sll0902	M	ornithine carbamoyltransferase activity	GO:0004585
sll0629	B	photosynthesis	GO:0015979
sll0629	C	membrane	GO:0016020
sll0629	C	photosystem I	GO:0009522
sll0867	B	oxidation reduction	GO:0055114
sll0867	M	oxidoreductase activity	GO:0016491
sll0905	C	cytoplasm	GO:0005737
sll0909	M	heat shock protein binding	GO:0031072
sll0910	M	binding	GO:0005488
sll0912	M	ATP binding	GO:0005524
sll0912	M	ATPase activity	GO:0016887
sll0912	M	nucleoside-triphosphatase activity	GO:0017111
sll0912	M	nucleotide binding	GO:0000166
sll0914	B	lipid metabolic process	GO:0006629
sll0914	M	hydrolase activity	GO:0016787
sll0914	M	hydrolase activity, acting on ester bonds	GO:0016788
sll0915	B	proteolysis	GO:0006508
sll0915	M	catalytic activity	GO:0003824
sll0915	M	metal ion binding	GO:0046872
sll0915	M	metalloendopeptidase activity	GO:0004222
sll0915	M	zinc ion binding	GO:0008270
sll0916	B	cobalamin biosynthetic process	GO:0009236
sll0916	M	precorrin-8X methylmutase activity	GO:0016993
sll0920	B	tricarboxylic acid cycle	GO:0006099
sll0920	M	catalytic activity	GO:0003824
sll0920	M	phosphoenolpyruvate carboxylase activity	GO:0008964
sll0921	B	regulation of transcription, DNA-dependent	GO:0006355
sll0921	B	two-component signal transduction system (phosphorelay)	GO:0000160
sll0921	C	intracellular	GO:0005622
sll0921	M	DNA binding	GO:0003677
sll0921	M	sequence-specific DNA binding	GO:0043565
sll0921	M	transcription factor activity	GO:0003700
sll0921	M	two-component response regulator activity	GO:0000156
sll0923	B	lipopolysaccharide biosynthetic process	GO:0009103
sll0923	C	membrane	GO:0016020
sll0926	B	metabolic process	GO:0008152
sll0926	B	oxidation reduction	GO:0055114
sll0926	B	tRNA processing	GO:0008033
sll0926	M	FAD binding	GO:0050660
sll0926	M	catalytic activity	GO:0003824
sll0926	M	oxidoreductase activity	GO:0016491
sll0926	M	tRNA dihydrouridine synthase activity	GO:0017150
sll0928	B	photosynthesis	GO:0015979
sll0928	C	phycobilisome	GO:0030089
sll0934	B	aromatic amino acid family biosynthetic process	GO:0009073
sll0934	B	biosynthetic process	GO:0009058
sll0934	B	metabolic process	GO:0008152
sll0934	M	aldehyde-lyase activity	GO:0016832
sll0934	M	catalytic activity	GO:0003824
sll0938	B	biosynthetic process	GO:0009058
sll0938	M	catalytic activity	GO:0003824
sll0938	M	pyridoxal phosphate binding	GO:0030170
sll0938	M	transferase activity, transferring nitrogenous groups	GO:0016769
sll0945	B	biosynthetic process	GO:0009058
sll0945	B	glucan biosynthetic process	GO:0009250
sll0945	M	starch synthase activity	GO:0009011
sll0947	B	primary metabolic process	GO:0044238
sll0947	M	binding	GO:0005488
sll0980	M	nucleic acid binding	GO:0003676
sll0986	B	transposition, DNA-mediated	GO:0006313
sll0986	M	DNA binding	GO:0003677
sll0986	M	transposase activity	GO:0004803
sll0990	B	ethanol oxidation	GO:0006069
sll0990	B	metabolic process	GO:0008152
sll0990	B	oxidation reduction	GO:0055114
sll0990	M	S-(hydroxymethyl)glutathione dehydrogenase activity	GO:0051903
sll0990	M	binding	GO:0005488
sll0990	M	catalytic activity	GO:0003824
sll0990	M	oxidoreductase activity	GO:0016491
sll0990	M	zinc ion binding	GO:0008270
sll0992	C	cytoplasmic membrane-bounded vesicle	GO:0016023
sll0992	M	S-formylglutathione hydrolase activity	GO:0018738
sll0992	M	carboxylesterase activity	GO:0004091
sll0993	B	metabolic process	GO:0008152
sll0993	B	potassium ion transport	GO:0006813
sll0993	M	binding	GO:0005488
sll0993	M	catalytic activity	GO:0003824
sll0993	M	cation transmembrane transporter activity	GO:0008324
sll0996	B	RNA modification	GO:0009451
sll0996	B	metabolic process	GO:0008152
sll0996	B	tRNA modification	GO:0006400
sll0996	C	cellular_component	GO:0005575
sll0996	C	cytoplasm	GO:0005737
sll0996	M	4 iron, 4 sulfur cluster binding	GO:0051539
sll0996	M	catalytic activity	GO:0003824
sll0996	M	iron-sulfur cluster binding	GO:0051536
sll0996	M	transferase activity	GO:0016740
sll0998	B	regulation of transcription, DNA-dependent	GO:0006355
sll0998	M	transcription factor activity	GO:0003700
sll1001	M	ATP binding	GO:0005524
sll1001	M	ATPase activity	GO:0016887
sll1001	M	nucleoside-triphosphatase activity	GO:0017111
sll1001	M	nucleotide binding	GO:0000166
sll1003	B	peptidyl-histidine phosphorylation	GO:0018106
sll1003	B	phosphorylation	GO:0016310
sll1003	B	regulation of transcription, DNA-dependent	GO:0006355
sll1003	B	signal transduction	GO:0007165
sll1003	B	two-component signal transduction system (phosphorelay)	GO:0000160
sll1003	C	membrane	GO:0016020
sll1003	M	ATP binding	GO:0005524
sll1003	M	protein histidine kinase activity	GO:0004673
sll1003	M	signal transducer activity	GO:0004871
sll1003	M	transferase activity, transferring phosphorus-containing groups	GO:0016772
sll1003	M	two-component sensor activity	GO:0000155
sll1009	M	calcium ion binding	GO:0005509
sll1011	M	heat shock protein binding	GO:0031072
sll1017	B	transmembrane transport	GO:0055085
sll1017	B	transport	GO:0006810
sll1017	C	membrane	GO:0016020
sll1017	M	ammonium transmembrane transporter activity	GO:0008519
sll1019	M	hydrolase activity	GO:0016787
sll1019	M	hydroxyacylglutathione hydrolase activity	GO:0004416
sll1019	M	zinc ion binding	GO:0008270
sll1022	C	integral to membrane	GO:0016021
sll1023	B	metabolic process	GO:0008152
sll1023	M	ATP binding	GO:0005524
sll1023	M	catalytic activity	GO:0003824
sll1025	M	oxidoreductase activity	GO:0016491
sll1027	B	glutamate biosynthetic process	GO:0006537
sll1027	B	metabolic process	GO:0008152
sll1027	B	oxidation reduction	GO:0055114
sll1027	M	FAD binding	GO:0050660
sll1027	M	binding	GO:0005488
sll1027	M	catalytic activity	GO:0003824
sll1027	M	iron-sulfur cluster binding	GO:0051536
sll1027	M	oxidoreductase activity	GO:0016491
sll1027	M	oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor	GO:0016639
sll1031	B	carbon utilization by fixation of carbon dioxide	GO:0015977
sll1031	M	ribulose-bisphosphate carboxylase activity	GO:0016984
sll1031	M	transferase activity	GO:0016740
