idone	gname	id	cog	ref.prot
16329738	-	sll1830	-	NP_440466.1
16329739	-	slr1919	COG0661R	NP_440467.1
16329740	-	slr1920	-	NP_440468.1
16329741	-	sll0998	COG0583K	NP_440469.1
16329742	-	ssl1911	-	NP_440470.1
16329743	-	slr1019	COG0384R	NP_440471.1
16329744	-	sll0997	-	NP_440472.1
16329745	-	sll0996	COG0621J	NP_440473.1
16329746	sqdB	slr1020	COG0451MG	NP_440474.1
16329747	-	ssr1698	COG0748P	NP_440475.1
16329748	-	sll0995	COG4636S	NP_440476.1
16329749	-	sll0994	-	NP_440477.1
16329750	-	sll0993	COG0569P	NP_440478.1
16329751	argD	slr1022	COG4992E	NP_440479.1
16329752	-	slr1023	COG1917S	NP_440480.1
16329753	-	slr1024	-	NP_440481.1
16329754	-	slr1025	-	NP_440482.1
16329755	-	sll0992	COG0627R	NP_440483.1
16329756	-	sll0990	COG1062C	NP_440484.1
16329757	-	slr1028	-	NP_440485.1
16329758	chlI	slr1030	COG1239H	NP_440486.1
16329759	tyrS	slr1031	COG0162J	NP_440487.1
16329760	-	slr1032	-	NP_440488.1
16329761	-	slr1033	-	NP_440489.1
16329762	tyrS	ssr1720	COG0162J	NP_440490.1
16329763	-	slr1034	COG0629L	NP_440491.1
16329764	-	slr1035	-	NP_440492.1
16329765	-	sll0986	COG1662L	NP_440493.1
16329766	-	sll0985	COG0668M	NP_440494.1
16329767	-	sll0984	-	NP_440495.1
16329768	-	slr1037	COG0745TK	NP_440496.1
16329769	-	sll0983	COG4121S	NP_440497.1
16329770	-	sll0982	-	NP_440498.1
16329771	-	sll0981	-	NP_440499.1
16329772	-	sll0980	COG0328L	NP_440500.1
16329773	-	slr1039	COG2226H	NP_440501.1
16329774	-	slr1376	-	NP_440502.1
16329775	lepB	slr1377	COG0681U	NP_440503.1
16329776	-	slr1378	COG4636S	NP_440504.1
16329777	cydA	slr1379	COG1271C	NP_440505.1
16329778	cydB	slr1380	COG1294C	NP_440506.1
16329780	ackA	sll1299	COG0282C	NP_440508.1
16329781	clcD	sll1298	COG0412Q	NP_440509.1
16329782	-	ssr2315	-	NP_440510.1
16329783	-	slr1383	COG1848R	NP_440511.1
16329784	-	ssr2317	-	NP_440512.1
16329785	-	slr1384	COG4370S	NP_440513.1
16329786	-	slr1385	COG2203T	NP_440514.1
16329787	-	ssr2318	-	NP_440515.1
16329788	pobA	sll1297	COG4638PR	NP_440516.1
16329789	-	ssl2559	COG0633C	NP_440517.1
16329790	-	sll1296	COG0643NT	NP_440518.1
16329791	pilJ	sll1294	COG0840NT	NP_440519.1
16329792	-	sll1293	COG0835NT	NP_440520.1
16329793	-	sll1292	COG0745TK	NP_440521.1
16329794	-	sll1291	COG0745TK	NP_440522.1
16329795	rnb	sll1290	COG0557K	NP_440523.1
16329796	-	sll1289	COG1225O	NP_440524.1
16329797	ftsH	slr1390	COG0465O	NP_440525.1
16329798	-	slr1391	-	NP_440526.1
16329799	-	ssr2333	COG1918P	NP_440527.1
16329800	feoB	slr1392	COG0370P	NP_440528.1
16329801	hliA	ssl2542	-	NP_440529.1
16329802	-	slr1393	COG0642T	NP_440530.1
16329803	-	slr1394	COG1963S	NP_440531.1
16329804	-	sll1286	COG1309K	NP_440532.1
16329805	-	slr1395	-	NP_440533.1
16329806	-	slr1396	-	NP_440534.1
16329807	-	slr1397	COG2023J	NP_440535.1
16329808	-	slr1398	-	NP_440536.1
16329809	cofG	sll1285	COG1060HR	NP_440537.1
16329810	-	sll1284	COG0400R	NP_440538.1
16329811	spoIID	sll1283	COG2385D	NP_440539.1
16329812	-	slr1699	-	NP_440540.1
16329813	-	sll1584	COG3411C	NP_440541.1
16329814	lig	sll1583	COG0272L	NP_440542.1
16329815	-	sll1582	COG1112L	NP_440543.1
16329816	gumB	sll1581	COG1596M	NP_440544.1
16329817	-	ssr2843	-	NP_440545.1
16329818	-	slr1702	-	NP_440546.1
16329819	serS	slr1703	COG0172J	NP_440547.1
16329820	cpcD	ssl3093	-	NP_440548.1
16329821	cpcC	sll1580	-	NP_440549.1
16329822	cpcC	sll1579	-	NP_440550.1
16329823	cpcA	sll1578	-	NP_440551.1
16329824	cpcB	sll1577	-	NP_440552.1
16329825	-	ssr2848	-	NP_440553.1
16329826	-	slr1704	-	NP_440554.1
16329827	-	sll1575	COG0515RTKL	NP_440555.1
16329828	-	sll1574	COG0515RTKL	NP_440556.1
16329829	-	sll1573	-	NP_440557.1
16329830	aspA	slr1705	COG2988E	NP_440558.1
16329831	dfrA	slr1706	COG0451MG	NP_440559.1
16329832	-	ssr2857	COG2608P	NP_440560.1
16329833	-	slr1708	COG0739M	NP_440561.1
16329834	dnaE	sll1572	COG0587L	NP_440562.1
16329835	-	sll1571	-	NP_440563.1
16329836	-	sll1570	-	NP_440564.1
16329837	mrcB	slr1710	COG0744M	NP_440565.1
16329838	-	sll1568	-	NP_440566.1
16329839	-	sll1927	COG1123R	NP_440567.1
16329840	-	sll1926	-	NP_440568.1
16329841	-	slr2005	COG2220R	NP_440569.1
16329842	-	sll1925	COG5413S	NP_440570.1
16329843	-	slr2006	COG1006P	NP_440571.1
16329844	ndhD	slr2007	COG0651CP	NP_440572.1
16329845	-	slr2008	COG1006P	NP_440573.1
16329846	ndhF	slr2009	COG0651CP	NP_440574.1
16329847	-	slr2010	-	NP_440575.1
16329848	-	ssr3409	-	NP_440576.1
16329849	-	ssr3410	-	NP_440577.1
16329850	-	slr2011	COG1563P	NP_440578.1
16329851	-	slr2012	-	NP_440579.1
16329852	-	slr2013	COG1721R	NP_440580.1
16329853	-	sll1924	COG0664T	NP_440581.1
16329854	-	slr2015	-	NP_440582.1
16329855	-	slr2016	COG2165NU	NP_440583.1
16329856	-	slr2017	-	NP_440584.1
16329857	-	slr2018	-	NP_440585.1
16329858	-	slr2019	COG1132V	NP_440586.1
16329859	-	sll1921	-	NP_440587.1
16329860	-	sll1920	COG2217P	NP_440588.1
16329861	fabD	slr2023	COG0331I	NP_440589.1
16329862	-	slr2024	COG0784T	NP_440590.1
16329863	-	slr2025	-	NP_440591.1
16329864	hemN	sll1917	COG0635H	NP_440592.1
16329865	nadD	sll1916	COG1057H	NP_440593.1
16329866	-	sll1915	-	NP_440594.1
16329867	folP	slr2026	COG0294H	NP_440595.1
16329868	-	slr2027	COG1807M	NP_440596.1
16329869	-	sll1913	COG3634O	NP_440597.1
16329870	-	sll1912	COG1569R	NP_440598.1
16329871	-	ssl3615	-	NP_440599.1
16329872	-	sll1911	-	NP_440600.1
16329873	zam	sll1910	COG0557K	NP_440601.1
16329874	-	slr2030	COG1625C	NP_440602.1
16329875	-	slr2031	COG2208TK	NP_440603.1
16329876	argH	slr1133	COG0165E	NP_440604.1
16329877	-	slr1134	COG1051F	NP_440605.1
16329878	-	slr1135	-	NP_440606.1
16329879	-	sll1084	COG5011S	NP_440607.1
16329880	ctaC	slr1136	COG1622C	NP_440608.1
16329881	ctaD	slr1137	COG0843C	NP_440609.1
16329882	ctaE	slr1138	COG1845C	NP_440610.1
16329883	trxA	slr1139	COG3118O	NP_440611.1
16329884	-	slr1140	COG0399M	NP_440612.1
16329885	nrtD	sll1082	COG1116P	NP_440613.1
16329886	-	sll1081	COG0600P	NP_440614.1
16329887	-	sll1080	COG0715P	NP_440615.1
16329888	hypB	sll1079	COG0378OK	NP_440616.1
16329889	-	sll1078	COG0375R	NP_440617.1
16329890	speB	sll1077	COG0010E	NP_440618.1
16329891	-	slr1142	COG2203T	NP_440619.1
16329892	-	slr1143	COG2199T	NP_440620.1
16329893	-	sll1076	COG0474P	NP_440621.1
16329894	leuS	sll1074	COG0495J	NP_440622.1
16329895	gltS	slr1145	COG0786E	NP_440623.1
16329896	-	slr1147	COG0642T	NP_440624.1
16329897	-	slr1148	-	NP_440625.1
16329898	-	slr1149	COG1132V	NP_440626.1
16329899	-	slr1150	-	NP_440627.1
16329900	-	sll1072	COG4636S	NP_440628.1
16329901	-	sll1071	COG1512R	NP_440629.1
16329902	tktA	sll1070	COG0021G	NP_440630.1
16329903	fabF	sll1069	COG0304IQ	NP_440631.1
16329904	acpP	ssl2084	COG0236IQ	NP_440632.1
16329905	-	sll1068	-	NP_440633.1
16329906	-	ssl3451	-	NP_440634.1
16329907	bfr	slr1890	COG2193P	NP_440635.1
16329908	-	sll1825	COG1028IQR	NP_440636.1
16329909	-	sll1824	COG1825J	NP_440637.1
16329911	-	ssl3446	-	NP_440639.1
16329912	rpmE	ssl3445	COG0254J	NP_440640.1
16329913	rpsI	sll1822	COG0103J	NP_440641.1
16329914	rplM	sll1821	COG0102J	NP_440642.1
16329915	truA	sll1820	COG0101J	NP_440643.1
16329916	rplQ	sll1819	COG0203J	NP_440644.1
16329917	rpoA	sll1818	COG0202K	NP_440645.1
16329918	rps11	sll1817	COG0100J	NP_440646.1
16329919	rpsM	sll1816	COG0099J	NP_440647.1
16329920	rpl36	sml0006	-	NP_440648.1
16329922	adk	sll1815	COG0563F	NP_440650.1
16329923	secY	sll1814	COG0201U	NP_440651.1
16329924	rplO	sll1813	COG0200J	NP_440652.1
16329925	rpsE	sll1812	COG0098J	NP_440653.1
16329926	rplR	sll1811	COG0256J	NP_440654.1
16329927	rplF	sll1810	COG0097J	NP_440655.1
16329928	rpsH	sll1809	COG0096J	NP_440656.1
16329929	rplE	sll1808	COG0094J	NP_440657.1
16329930	rplX	sll1807	COG0198J	NP_440658.1
16329931	rplN	sll1806	COG0093J	NP_440659.1
16329932	rpsQ	ssl3437	COG0186J	NP_440660.1
16329933	rpmC	ssl3436	COG0255J	NP_440661.1
16329934	rplP	sll1805	COG0197J	NP_440662.1
16329935	rpsC	sll1804	COG0092J	NP_440663.1
16329936	rplV	sll1803	COG0091J	NP_440664.1
16329937	rpsS	ssl3432	COG0185J	NP_440665.1
16329938	rplB	sll1802	COG0090J	NP_440666.1
16329939	rplW	sll1801	COG0089J	NP_440667.1
16329940	rplD	sll1800	COG0088J	NP_440668.1
16329941	rplC	sll1799	COG0087J	NP_440669.1
16329942	-	slr1894	COG0783P	NP_440670.1
16329943	-	sll1797	COG3161H	NP_440671.1
16329944	-	slr1895	COG1409R	NP_440672.1
16329945	-	slr1896	-	NP_440673.1
16329946	petJ	sll1796	COG2010C	NP_440674.1
16329947	srrA	slr1897	COG1653G	NP_440675.1
16329948	argB	slr1898	COG0548E	NP_440676.1
16329949	ureF	slr1899	COG0830O	NP_440677.1
16329950	-	slr1900	-	NP_440678.1
16329951	-	slr1901	COG4586R	NP_440679.1
16329952	-	slr1902	COG3677L	NP_440680.1
16329953	-	slr1903	COG1662L	NP_440681.1
16329954	-	sll1792	COG3293L	NP_440682.1
16329955	-	sll1791	COG3293L	NP_440683.1
16329956	rpoC2	sll1789	COG0086K	NP_440684.1
16329957	rpoB	sll1787	COG0085K	NP_440685.1
16329958	-	sll1786	COG0084L	NP_440686.1
16329959	rpsT	ssl2233	COG0268J	NP_440687.1
16329960	-	sll1124	COG0642T	NP_440688.1
16329961	-	sll1123	-	NP_440689.1
16329962	-	sll1121	COG0210L	NP_440690.1
16329963	-	sll1120	COG1196D	NP_440691.1
16329964	-	sll1119	COG2334R	NP_440692.1
16329965	-	slr1194	COG3793P	NP_440693.1
16329966	-	slr1195	-	NP_440694.1
16329967	-	slr1196	-	NP_440695.1
16329968	-	slr1197	COG0758LU	NP_440696.1
16329969	-	sll1118	COG0393S	NP_440697.1
16329970	-	ssr2009	-	NP_440698.1
16329971	-	slr1198	COG0450O	NP_440699.1
16329972	mutL	slr1199	COG0323L	NP_440700.1
16329973	livH	slr1200	COG0559E	NP_440701.1
16329974	-	slr1201	COG4177E	NP_440702.1
16329975	lacF	slr1202	COG1175G	NP_440703.1
16329976	-	slr1203	-	NP_440704.1
16329977	htrA	slr1204	COG0265O	NP_440705.1
16329978	-	slr1205	COG2146PR	NP_440706.1
16329979	-	slr1206	-	NP_440707.1
16329980	-	slr1207	COG1566V	NP_440708.1
16329981	-	ssr2016	-	NP_440709.1
16329982	-	slr1208	COG3347S	NP_440710.1
16329983	-	slr1209	COG2442S	NP_440711.1
16329984	-	slr1210	-	NP_440712.1
16329985	cobN	slr1211	COG1429H	NP_440713.1
16329986	ETR1	slr1212	COG3920T	NP_440714.1
16329987	-	slr1213	COG2207K	NP_440715.1
16329988	-	slr1214	COG3706T	NP_440716.1
16329989	-	slr1215	-	NP_440717.1
16329990	aroQ	sll1112	COG0757E	NP_440718.1
16329991	mgtE	slr1216	COG2239P	NP_440719.1
16329992	-	sll1971	COG0438M	NP_440720.1
16329993	-	slr2070	-	NP_440721.1
16329994	-	slr2071	-	NP_440722.1
16329995	-	sll1969	COG1075R	NP_440723.1
16329996	pmgA	sll1968	COG2172T	NP_440724.1
16329997	-	sll1967	COG2265J	NP_440725.1
16329998	ilvA	slr2072	COG1171E	NP_440726.1
16329999	-	slr2073	COG1799S	NP_440727.1
16330000	manA	slr2074	COG0662G	NP_440728.1
16330001	-	sll1965	COG2929S	NP_440729.1
16330002	groES	slr2075	COG0234O	NP_440730.1
16330003	groEL	slr2076	COG0459O	NP_440731.1
16330004	-	slr2077	COG5001T	NP_440732.1
16330005	-	slr2078	COG0494LR	NP_440733.1
16330006	-	ssl3712	-	NP_440734.1
16330007	aroC	sll1747	COG0082E	NP_440735.1
16330008	rplL	sll1746	COG0222J	NP_440736.1
16330009	rplJ	sll1745	COG0244J	NP_440737.1
16330010	rplA	sll1744	COG0081J	NP_440738.1
16330011	rplK	sll1743	COG0080J	NP_440739.1
16330012	nusG	sll1742	COG0250K	NP_440740.1
16330013	secE	ssl3335	COG0690U	NP_440741.1
16330014	rplS	sll1740	COG0335J	NP_440742.1
16330015	-	slr1826	-	NP_440743.1
16330016	-	slr1827	COG0596R	NP_440744.1
16330017	-	sll1739	-	NP_440745.1
16330018	-	sll1738	COG0465O	NP_440746.1
16330019	-	sll1737	-	NP_440747.1
16330020	petF	slr1828	COG0633C	NP_440748.1
16330021	-	slr1829	-	NP_440749.1
16330022	phbC	slr1830	COG3243I	NP_440750.1
16330023	-	sll1736	-	NP_440751.1
16330024	-	sll1735	COG2335M	NP_440752.1
16330025	-	sll1734	-	NP_440753.1
16330026	ndhD3	sll1733	COG1008C	NP_440754.1
16330027	ndhF	sll1732	COG1009CP	NP_440755.1
16330028	-	sll1730	-	NP_440756.1
16330029	psaA	slr1834	-	NP_440757.1
16330030	psaB	slr1835	-	NP_440758.1
16330031	-	sll1726	COG3173R	NP_440759.1
16330032	-	sll1725	COG1132V	NP_440760.1
16330033	icsA	sll1724	COG0438M	NP_440761.1
16330034	-	sll1723	COG0438M	NP_440762.1
16330035	-	sll1722	COG4671R	NP_440763.1
16330036	-	slr1837	COG0745TK	NP_440764.1
16330037	pdhB	sll1721	COG0022C	NP_440765.1
16330038	ccmK	slr1838	COG4577QC	NP_440766.1
16330039	ccmK	slr1839	COG4577QC	NP_440767.1
16330040	-	slr1840	COG1929G	NP_440768.1
16330041	-	slr1841	-	NP_440769.1
16330042	cysK	slr1842	COG0031E	NP_440770.1
16330043	zwf	slr1843	COG0364G	NP_440771.1
16330044	uvrA	slr1844	COG0178L	NP_440772.1
16330045	-	sll1717	-	NP_440773.1
16330046	-	sll1716	COG3293L	NP_440774.1
16330047	-	sll1715	COG2402R	NP_440775.1
16330048	-	sll1714	-	NP_440776.1
16330049	hisC	sll1713	COG0079E	NP_440777.1
16330050	-	sll1712	COG0776L	NP_440778.1
16330051	-	sll1469	COG0456R	NP_440779.1
16330052	-	slr1535	-	NP_440780.1
16330053	recQ	slr1536	COG0514L	NP_440781.1
16330054	-	slr1537	COG1215M	NP_440782.1
16330055	cbiD	slr1538	COG1903H	NP_440783.1
16330056	-	slr1540	COG0451MG	NP_440784.1
16330057	-	slr1541	-	NP_440785.1
16330058	ispF	slr1542	COG0245I	NP_440786.1
16330059	-	slr1543	COG0534V	NP_440787.1
16330060	bhy	sll1468	COG3239I	NP_440788.1
16330061	-	ssr2595	-	NP_440789.1
16330062	-	slr1544	-	NP_440790.1
16330063	rpoE	slr1545	COG1595K	NP_440791.1
16330064	-	slr1546	COG5662K	NP_440792.1
16330065	-	slr1547	COG0701R	NP_440793.1
16330066	-	sll1466	COG0438M	NP_440794.1
16330067	-	ssl2823	COG1826U	NP_440795.1
16330068	-	sll1464	COG0397S	NP_440796.1
16330069	ftsH	sll1463	COG0465O	NP_440797.1
16330070	hypE	sll1462	COG0309O	NP_440798.1
16330071	-	sll1461	COG4636S	NP_440799.1
16330072	surE	sll1459	COG0496R	NP_440800.1
16330073	def	slr1549	COG0242J	NP_440801.1
16330074	-	ssr2611	-	NP_440802.1
16330075	lysS	slr1550	COG1190J	NP_440803.1
16330076	rfbJ	sll1457	COG0463M	NP_440804.1
16330077	-	sll1456	COG2242H	NP_440805.1
16330078	-	slr1552	COG5617S	NP_440806.1
16330079	-	sll1455	-	NP_440807.1
16330080	narB	sll1454	COG0243C	NP_440808.1
16330081	nrtD	sll1453	COG1116P	NP_440809.1
16330082	nrtC	sll1452	COG1116P	NP_440810.1
16330083	nrtB	sll1451	COG0600P	NP_440811.1
16330084	nrtA	sll1450	COG0715P	NP_440812.1
16330085	-	sll1634	COG0547E	NP_440813.1
16330086	-	slr1748	COG0406G	NP_440814.1
16330087	repA	ssl3177	COG0797M	NP_440815.1
16330088	ftsZ	sll1633	COG0206D	NP_440816.1
16330089	-	sll1632	COG1589M	NP_440817.1
16330090	prc	slr1751	COG0793M	NP_440818.1
16330091	-	slr1752	COG4636S	NP_440819.1
16330093	-	slr1218	-	NP_440821.1
16330094	ureE	slr1219	COG2371O	NP_440822.1
16330095	-	slr1220	-	NP_440823.1
16330096	-	slr1222	-	NP_440824.1
16330097	uvrD	sll1143	COG0210L	NP_440825.1
16330098	-	sll1142	COG1259S	NP_440826.1
16330099	sulA	slr1223	COG1090R	NP_440827.1
16330100	malK	slr1224	COG3839G	NP_440828.1
16330101	pknA	slr1225	COG0515RTKL	NP_440829.1
16330102	-	sll1138	COG0637R	NP_440830.1
16330103	purC	slr1226	COG0152F	NP_440831.1
16330104	IAP75	slr1227	COG4775M	NP_440832.1
16330105	prfC	slr1228	COG4108J	NP_440833.1
16330106	-	slr1229	COG0659P	NP_440834.1
16330107	-	slr1230	COG0589T	NP_440835.1
16330108	-	sll1135	COG3380R	NP_440836.1
16330109	-	slr1232	-	NP_440837.1
16330110	-	ssr2047	-	NP_440838.1
16330111	sdhA	slr1233	COG1053C	NP_440839.1
16330112	bchB	ssr2049	-	NP_440840.1
16330113	-	slr1234	COG0537FGR	NP_440841.1
16330114	-	slr1235	COG0596R	NP_440842.1
16330115	-	slr1236	COG1430S	NP_440843.1
16330116	-	ssl2250	COG2906P	NP_440844.1
16330117	-	sll1132	-	NP_440845.1
16330118	-	sll1131	-	NP_440846.1
16330119	codA	slr1237	COG0402FR	NP_440847.1
16330120	-	sll1130	-	NP_440848.1
16330121	-	ssl2245	-	NP_440849.1
16330122	todF	sll1129	COG0596R	NP_440850.1
16330123	-	ssr2060	-	NP_440851.1
16330124	grxC	ssr2061	COG0695O	NP_440852.1
16330125	gshB	slr1238	COG0189HJ	NP_440853.1
16330126	-	ssr2062	-	NP_440854.1
16330127	menB	sll1127	COG0447H	NP_440855.1
16330128	pntA	slr1239	COG3288C	NP_440856.1
16330129	-	slr1240	-	NP_440857.1
16330130	-	slr1241	COG1669R	NP_440858.1
16330131	-	ssr2067	COG1598S	NP_440859.1
16330132	pntB	slr1434	COG1282C	NP_440860.1
16330133	pmbA	slr1435	COG0312R	NP_440861.1
16330134	-	slr1436	COG0500QR	NP_440862.1
16330135	-	slr1437	-	NP_440863.1
16330136	-	slr1438	COG2017G	NP_440864.1
16330137	ileS	sll1362	COG0060J	NP_440865.1
16330138	-	ssr2406	-	NP_440866.1
16330139	dnaX	sll1360	COG2812L	NP_440867.1
16330140	-	slr1440	COG3565R	NP_440868.1
16330141	-	sll1359	COG3258C	NP_440869.1
16330142	-	sll1358	COG2140GR	NP_440870.1
16330143	glgP	sll1356	COG0058G	NP_440871.1
16330144	-	slr1441	-	NP_440872.1
16330145	-	sll1355	COG4636S	NP_440873.1
16330146	-	slr1442	COG1805C	NP_440874.1
16330147	pknA	slr1443	COG0515RTKL	NP_440875.1
16330148	-	slr1444	COG5607S	NP_440876.1
16330149	-	ssr2422	-	NP_440877.1
16330150	recJ	sll1354	COG0608L	NP_440878.1
16330151	-	sll1353	COG0642T	NP_440879.1
16330152	-	sll1352	COG3463S	NP_440880.1
16330153	cscK	slr1448	COG0524G	NP_440881.1
16330154	-	slr1449	COG3038C	NP_440882.1
16330155	-	slr1450	-	NP_440883.1
16330156	-	sll1350	COG1357S	NP_440884.1
16330157	cbbZp	sll1349	COG0546R	NP_440885.1
16330158	-	sll1348	COG1600C	NP_440886.1
16330159	ribH	sll1282	COG0054H	NP_440887.1
16330160	psbZ	sll1281	-	NP_440888.1
16330161	-	sll1280	COG0501O	NP_440889.1
16330162	rps1	slr1356	COG0539J	NP_440890.1
16330163	-	slr1357	COG3335L	NP_440891.1
16330164	recF	sll1277	COG1195L	NP_440892.1
16330165	-	sll1276	COG1132V	NP_440893.1
16330166	pykF	sll1275	COG0469G	NP_440894.1
16330167	-	slr1362	-	NP_440895.1
16330168	-	sll1274	-	NP_440896.1
16330169	-	slr1363	COG2326S	NP_440897.1
16330170	bioB	slr1364	COG0502H	NP_440898.1
16330171	bioY	slr1365	COG1268R	NP_440899.1
16330172	lspA	slr1366	COG0597MU	NP_440900.1
16330173	-	sll1273	-	NP_440901.1
16330174	-	sll1272	-	NP_440902.1
16330175	-	sll1271	-	NP_440903.1
16330176	glnH/glnP	sll1270	COG0765E	NP_440904.1
16330177	-	ssl2501	-	NP_440905.1
16330178	glgP	slr1367	COG0058G	NP_440906.1
16330180	cdsA	slr1369	COG0575I	NP_440908.1
16330181	-	sll1268	-	NP_440909.1
16330182	-	sll1267	-	NP_440910.1
16330183	-	sll1265	COG2911S	NP_440911.1
16330184	-	sll0877	-	NP_440912.1
16330185	mscL	slr0875	COG1970M	NP_440913.1
16330186	ruvA	sll0876	COG0632L	NP_440914.1
16330187	-	sll0875	COG1836S	NP_440915.1
16330188	-	slr0876	COG0446R	NP_440916.1
16330189	-	ssr1480	COG0724R	NP_440917.1
16330190	gatA	slr0877	COG0154J	NP_440918.1
16330191	-	slr0878	COG0739M	NP_440919.1
16330192	gcvH	slr0879	COG0509E	NP_440920.1
16330193	-	slr0880	COG1293K	NP_440921.1
16330194	napC	sll0873	COG0019E	NP_440922.1
16330195	-	ssl1633	-	NP_440923.1
16330196	-	slr0881	-	NP_440924.1
16330197	-	sll0872	-	NP_440925.1
16330198	-	slr0882	COG0795R	NP_440926.1
16330199	psr	slr0883	COG1316K	NP_440927.1
16330200	-	sll0871	-	NP_440928.1
16330201	gap1	slr0884	COG0057G	NP_440929.1
16330202	-	slr0885	COG4636S	NP_440930.1
16330203	aat	sll0869	COG2360O	NP_440931.1
16330204	lipA	sll0868	COG0320H	NP_440932.1
16330205	-	sll0867	COG1453R	NP_440933.1
16330206	fabG	slr0886	COG1028IQR	NP_440934.1
16330207	-	slr0887	COG0115EH	NP_440935.1
16330208	-	slr0888	-	NP_440936.1
16330209	-	slr0889	COG0661R	NP_440937.1
16330210	-	ssr1499	-	NP_440938.1
16330211	-	slr0890	-	NP_440939.1
16330212	uvrC	sll0865	COG0322L	NP_440940.1
16330213	amiA	slr0891	COG0860M	NP_440941.1
16330214	-	sll0864	COG1310R	NP_440942.1
16330215	-	sll0863	-	NP_440943.1
16330216	-	sll0862	COG0750M	NP_440944.1
16330217	murQ	sll0861	COG2103R	NP_440945.1
16330218	-	sll0860	-	NP_440946.1
16330219	petA	sll1317	-	NP_440947.1
16330220	petC	sll1316	COG0723C	NP_440948.1
16330221	psbH	ssl2598	-	NP_440949.1
16330222	psbN	smr0009	-	NP_440950.1
16330223	-	ssl2595	COG2350S	NP_440951.1
16330224	-	sll1315	COG1520S	NP_440952.1
16330225	dctP	sll1314	COG1638G	NP_440953.1
16330226	-	slr1403	-	NP_440954.1
16330227	-	sll1308	COG0300R	NP_440955.1
16330228	-	slr1406	COG3193R	NP_440956.1
16330229	-	slr1407	-	NP_440957.1
16330230	-	slr1409	COG2319R	NP_440958.1
16330231	-	slr1410	COG2319R	NP_440959.1
16330232	-	sll1307	COG3193R	NP_440960.1
16330233	-	sll1306	COG0726G	NP_440961.1
16330234	-	sll1305	COG0596R	NP_440962.1
16330235	-	sll1304	COG1082G	NP_440963.1
16330236	-	sll1785	-	NP_440964.1
16330237	-	sll1784	COG2140GR	NP_440965.1
16330238	-	sll1783	COG1359S	NP_440966.1
16330239	-	slr1852	-	NP_440967.1
16330240	-	slr1853	COG0599S	NP_440968.1
16330241	-	slr1854	COG0693R	NP_440969.1
16330242	-	slr1855	COG2942G	NP_440970.1
16330243	-	slr1856	COG1366T	NP_440971.1
16330244	glgX	slr1857	COG1523G	NP_440972.1
16330245	-	slr1859	COG1366T	NP_440973.1
16330246	ICFG	slr1860	COG2208TK	NP_440974.1
16330247	-	slr1861	COG2172T	NP_440975.1
16330248	-	slr1862	COG3875S	NP_440976.1
16330249	-	sll1780	COG3385L	NP_440977.1
16330250	-	slr1863	-	NP_440978.1
16330251	-	slr1864	COG0679R	NP_440979.1
16330252	-	slr1865	COG1653G	NP_440980.1
16330253	-	slr1866	-	NP_440981.1
16330254	trpD	slr1867	COG0547E	NP_440982.1
16330255	deoC	sll1776	COG0274F	NP_440983.1
16330256	-	sll1775	COG4354G	NP_440984.1
16330257	-	sll1774	COG5464S	NP_440985.1
16330258	-	slr1869	-	NP_440986.1
16330259	-	slr1870	COG1432S	NP_440987.1
16330260	-	sll1773	COG1741R	NP_440988.1
16330261	-	slr1871	COG0583K	NP_440989.1
16330262	mutS	sll1772	COG1193L	NP_440990.1
16330263	-	sll1771	COG0631T	NP_440991.1
16330264	-	sll1770	COG0661R	NP_440992.1
16330265	-	sll1769	-	NP_440993.1
16330266	-	ssl3383	-	NP_440994.1
16330267	-	ssl3382	-	NP_440995.1
16330268	-	sll1768	COG0601EP	NP_440996.1
16330269	ddl	slr1874	COG1181M	NP_440997.1
16330270	exoD	slr1875	COG3932R	NP_440998.1
16330271	clpS	ssl3379	COG2127S	NP_440999.1
16330272	-	slr1876	COG0680C	NP_441000.1
16330273	rps6	sll1767	COG0360J	NP_441001.1
16330274	hpcE	slr1877	COG0179Q	NP_441002.1
16330275	cpcE	slr1878	COG1413C	NP_441003.1
16330276	aslB	sll1766	COG0641R	NP_441004.1
16330277	-	sll1765	-	NP_441005.1
16330278	-	sll1764	-	NP_441006.1
16330279	-	sll1763	-	NP_441007.1
16330280	-	sll1762	COG0834ET	NP_441008.1
16330281	cbiL	slr1879	COG2243H	NP_441009.1
16330282	-	sll1761	COG5661O	NP_441010.1
16330283	thrB	sll1760	COG0083E	NP_441011.1
16330284	-	slr1880	COG2334R	NP_441012.1
16330285	glmM	sll1758	COG1109G	NP_441013.1
16330286	-	ssr3184	COG1143C	NP_441014.1
16330287	livF	slr1881	COG0410E	NP_441015.1
16330289	-	sll1757	-	NP_441017.1
16330290	-	ssr3188	-	NP_441018.1
16330291	-	ssl3364	-	NP_441019.1
16330293	-	ssr3189	-	NP_441021.1
16330294	-	slr1885	COG1713H	NP_441022.1
16330295	-	slr1886	COG0799S	NP_441023.1
16330296	-	sll1755	-	NP_441024.1
16330297	hemC	slr1887	COG0181H	NP_441025.1
16330298	-	slr1888	COG0427C	NP_441026.1
16330299	pta	slr2132	COG0280C	NP_441027.1
16330300	-	sll2015	COG5493S	NP_441028.1
16330301	sfsA	sll2014	COG1489R	NP_441029.1
16330302	-	sll2013	-	NP_441030.1
16330303	rpoD	sll2012	COG0568K	NP_441031.1
