id	cog	clr
slr1546	COG5662K	#99CCFF
slr1547	COG0701R	#C27E3A
sll1466	COG0438M	#A6CAA9
ssl2823	COG1826U	#4BFE78
sll1464	COG0397S	#C98767
sll1463	COG0465O	#72FE95
sll1462	COG0309O	#72FE95
sll1461	COG4636S	#C98767
sll1459	COG0496R	#C27E3A
slr1549	COG0242J	#0066FF
ssr2611	-	#333333
slr1550	COG1190J	#0066FF
sll1457	COG0463M	#A6CAA9
sll1456	COG2242H	#FFA4A4
slr1552	COG5617S	#C98767
sll1455	-	#333333
sll1454	COG0243C	#991616
sll1453	COG1116P	#CC3333
sll1452	COG1116P	#CC3333
sll1451	COG0600P	#CC3333
sll1450	COG0715P	#CC3333
sll1634	COG0547E	#FF7373
slr1748	COG0406G	#FF5353
ssl3177	COG0797M	#A6CAA9
sll1633	COG0206D	#59955C
sll1632	COG1589M	#A6CAA9
slr1751	COG0793M	#A6CAA9
slr1752	COG4636S	#C98767
slr1218	-	#333333
slr1219	COG2371O	#72FE95
slr1220	-	#333333
slr1222	-	#333333
sll1143	COG0210L	#00FFFF
sll1142	COG1259S	#C98767
slr1223	COG1090R	#C27E3A
slr1224	COG3839G	#FF5353
slr1225	COG0515RTKL	#FF79E1
sll1138	COG0637R	#C27E3A
slr1226	COG0152F	#FF8E8E
slr1227	COG4775M	#A6CAA9
slr1228	COG4108J	#0066FF
slr1229	COG0659P	#CC3333
slr1230	COG0589T	#93BF96
sll1135	COG3380R	#C27E3A
slr1232	-	#333333
ssr2047	-	#333333
slr1233	COG1053C	#991616
ssr2049	-	#333333
slr1234	COG0537FGR	#9B4EE9
slr1235	COG0596R	#C27E3A
slr1236	COG1430S	#C98767
ssl2250	COG2906P	#CC3333
sll1132	-	#333333
sll1131	-	#333333
slr1237	COG0402FR	#A55FEB
sll1130	-	#333333
ssl2245	-	#333333
sll1129	COG0596R	#C27E3A
ssr2060	-	#333333
ssr2061	COG0695O	#72FE95
slr1238	COG0189HJ	#AE70ED
ssr2062	-	#333333
sll1127	COG0447H	#FFA4A4
slr1239	COG3288C	#991616
slr1240	-	#333333
slr1241	COG1669R	#C27E3A
ssr2067	COG1598S	#C98767
slr1434	COG1282C	#991616
slr1435	COG0312R	#C27E3A
slr1436	COG0500QR	#AE70ED
slr1437	-	#333333
slr1438	COG2017G	#FF5353
sll1362	COG0060J	#0066FF
ssr2406	-	#333333
sll1360	COG2812L	#00FFFF
slr1440	COG3565R	#C27E3A
sll1359	COG3258C	#991616
sll1358	COG2140GR	#C79BF2
sll1356	COG0058G	#FF5353
slr1441	-	#333333
sll1355	COG4636S	#C98767
slr1442	COG1805C	#991616
slr1443	COG0515RTKL	#FF79E1
slr1444	COG5607S	#C98767
ssr2422	-	#333333
sll1354	COG0608L	#00FFFF
sll1353	COG0642T	#93BF96
sll1352	COG3463S	#C98767
slr1448	COG0524G	#FF5353
slr1449	COG3038C	#991616
slr1450	-	#333333
sll1350	COG1357S	#C98767
sll1349	COG0546R	#C27E3A
sll1348	COG1600C	#991616
sll1282	COG0054H	#FFA4A4
sll1281	-	#333333
sll1280	COG0501O	#72FE95
slr1356	COG0539J	#0066FF
slr1357	COG3335L	#00FFFF
sll1277	COG1195L	#00FFFF
sll1276	COG1132V	#80B584
sll1275	COG0469G	#FF5353
slr1362	-	#333333
sll1274	-	#333333
slr1363	COG2326S	#C98767
slr1364	COG0502H	#FFA4A4
slr1365	COG1268R	#C27E3A
slr1366	COG0597MU	#CEA8F4
sll1273	-	#333333
sll1272	-	#333333
sll1271	-	#333333
sll1270	COG0765E	#FF7373
ssl2501	-	#333333
slr1367	COG0058G	#FF5353
slr1369	COG0575I	#FF3333
sll1268	-	#333333
sll1267	-	#333333
sll1265	COG2911S	#C98767
sll0877	-	#333333
slr0875	COG1970M	#A6CAA9
sll0876	COG0632L	#00FFFF
sll0875	COG1836S	#C98767
slr0876	COG0446R	#C27E3A
ssr1480	COG0724R	#C27E3A
slr0877	COG0154J	#0066FF
slr0878	COG0739M	#A6CAA9
slr0879	COG0509E	#FF7373
slr0880	COG1293K	#99CCFF
sll0873	COG0019E	#FF7373
ssl1633	-	#333333
slr0881	-	#333333
sll0872	-	#333333
slr0882	COG0795R	#C27E3A
slr0883	COG1316K	#99CCFF
sll0871	-	#333333
slr0884	COG0057G	#FF5353
slr0885	COG4636S	#C98767
sll0869	COG2360O	#72FE95
sll0868	COG0320H	#FFA4A4
sll0867	COG1453R	#C27E3A
slr0886	COG1028IQR	#FFACEC
slr0887	COG0115EH	#F0CBFE
slr0888	-	#333333
slr0889	COG0661R	#C27E3A
ssr1499	-	#333333
slr0890	-	#333333
sll0865	COG0322L	#00FFFF
slr0891	COG0860M	#A6CAA9
sll0864	COG1310R	#C27E3A
sll0863	-	#333333
sll0862	COG0750M	#A6CAA9
sll0861	COG2103R	#C27E3A
sll0860	-	#333333
sll1317	-	#333333
sll1316	COG0723C	#991616
ssl2598	-	#333333
smr0009	-	#333333
ssl2595	COG2350S	#C98767
sll1315	COG1520S	#C98767
sll1314	COG1638G	#FF5353
slr1403	-	#333333
sll1308	COG0300R	#C27E3A
slr1406	COG3193R	#C27E3A
slr1407	-	#333333
slr1409	COG2319R	#C27E3A
slr1410	COG2319R	#C27E3A
sll1307	COG3193R	#C27E3A
sll1306	COG0726G	#FF5353
sll1305	COG0596R	#C27E3A
sll1304	COG1082G	#FF5353
sll1785	-	#333333
sll1784	COG2140GR	#C79BF2
sll1783	COG1359S	#C98767
slr1852	-	#333333
slr1853	COG0599S	#C98767
slr1854	COG0693R	#C27E3A
slr1855	COG2942G	#FF5353
slr1856	COG1366T	#93BF96
slr1857	COG1523G	#FF5353
slr1859	COG1366T	#93BF96
slr1860	COG2208TK	#C4ABFE
slr1861	COG2172T	#93BF96
slr1862	COG3875S	#C98767
sll1780	COG3385L	#00FFFF
slr1863	-	#333333
slr1864	COG0679R	#C27E3A
slr1865	COG1653G	#FF5353
slr1866	-	#333333
slr1867	COG0547E	#FF7373
sll1776	COG0274F	#FF8E8E
sll1775	COG4354G	#FF5353
sll1774	COG5464S	#C98767
slr1869	-	#333333
slr1870	COG1432S	#C98767
sll1773	COG1741R	#C27E3A
slr1871	COG0583K	#99CCFF
sll1772	COG1193L	#00FFFF
sll1771	COG0631T	#93BF96
sll1770	COG0661R	#C27E3A
sll1769	-	#333333
ssl3383	-	#333333
ssl3382	-	#333333
sll1768	COG0601EP	#DBBFF7
slr1874	COG1181M	#A6CAA9
slr1875	COG3932R	#C27E3A
ssl3379	COG2127S	#C98767
slr1876	COG0680C	#991616
sll1767	COG0360J	#0066FF
slr1877	COG0179Q	#993366
slr1878	COG1413C	#991616
sll1766	COG0641R	#C27E3A
sll1765	-	#333333
sll1764	-	#333333
sll1763	-	#333333
sll1762	COG0834ET	#A27AFE
slr1879	COG2243H	#FFA4A4
sll1761	COG5661O	#72FE95
sll1760	COG0083E	#FF7373
slr1880	COG2334R	#C27E3A
sll1758	COG1109G	#FF5353
ssr3184	COG1143C	#991616
slr1881	COG0410E	#FF7373
sll1757	-	#333333
ssr3188	-	#333333
ssl3364	-	#333333
ssr3189	-	#333333
slr1885	COG1713H	#FFA4A4
slr1886	COG0799S	#C98767
sll1755	-	#333333
slr1887	COG0181H	#FFA4A4
slr1888	COG0427C	#991616
slr2132	COG0280C	#991616
sll2015	COG5493S	#C98767
sll2014	COG1489R	#C27E3A
sll2013	-	#333333
sll2012	COG0568K	#99CCFF
sll2011	COG0602O	#72FE95
sll2010	COG0771M	#A6CAA9
sll2009	COG0612R	#C27E3A
sll2008	COG0612R	#C27E3A
slr2135	COG2370O	#72FE95
slr2136	COG0821I	#FF3333
sll2007	COG1403V	#80B584
sll2006	-	#333333
sll2005	COG0187L	#00FFFF
ssl3829	-	#333333
sml0007	-	#333333
slr2141	COG0685E	#FF7373
sll2003	COG1807M	#A6CAA9
slr2143	COG0520E	#FF7373
sll2002	-	#333333
slr2144	-	#333333
slr1803	COG0338L	#00FFFF
sll1710	COG3293L	#00FFFF
sll1709	COG1028IQR	#FFACEC
ssl3291	COG2343S	#C98767
sll1708	COG2197TK	#C4ABFE
slr1805	COG3447T	#93BF96
sll1704	COG1028IQR	#FFACEC
sll1703	COG0616OU	#E1CAF9
sll1702	-	#333333
slr1807	COG2267I	#FF3333
slr1809	-	#333333
sll1699	COG0747E	#FF7373
sll1698	-	#333333
sll1697	COG2006S	#C98767
slr1811	-	#333333
slr1812	-	#333333
slr1813	-	#333333
slr1814	-	#333333
slr1815	COG4627S	#C98767
slr1816	COG3914O	#72FE95
sll1696	-	#333333
sll1695	COG2165NU	#FF97E8
sll1694	-	#333333
sll1693	COG2227H	#FFA4A4
slr1818	-	#333333
sll1692	-	#333333
sll1691	COG5464S	#C98767
slr1819	COG1357S	#C98767
sll1689	COG0568K	#99CCFF
sll1688	COG0498E	#FF7373
slr1820	COG1807M	#A6CAA9
sll1687	COG3706T	#93BF96
slr1821	COG0750M	#A6CAA9
slr1822	COG0177L	#00FFFF
slr1732	-	#333333
sll1631	COG0590FJ	#A827FE
sll1630	-	#333333
sll1629	COG0415L	#00FFFF
sll1628	COG0457R	#C27E3A
slr1734	COG3429G	#FF5353
slr1735	COG1126E	#FF7373
sll1626	COG1974KT	#B445FE
sll1625	COG0479C	#991616
sll1624	COG3437KT	#B445FE
sll1623	COG1122P	#CC3333
slr1736	COG0382H	#FFA4A4
slr1737	-	#333333
sll1621	COG0678O	#72FE95
slr1738	COG0735P	#CC3333
sll1620	COG4446S	#C98767
slr1739	-	#333333
slr1740	COG0747E	#FF7373
sll1618	-	#333333
slr1742	COG3442R	#C27E3A
slr1743	COG1252C	#991616
slr1744	COG0860M	#A6CAA9
slr1746	COG0796M	#A6CAA9
slr1747	COG4638PR	#FF68DD
slr0851	COG1252C	#991616
slr0852	-	#333333
slr0853	COG0456R	#C27E3A
slr0854	COG0415L	#00FFFF
sll0858	COG3678UNTP	#BD5CFE
sll0857	-	#333333
sll0856	COG1595K	#99CCFF
sll0855	COG0038P	#CC3333
sll0854	COG2367V	#80B584
sll0853	-	#333333
slr0856	COG3415L	#00FFFF
slr0857	COG3335L	#00FFFF
sll0851	-	#333333
sll0849	-	#333333
sll0848	COG0593L	#00FFFF
sll0847	COG2149S	#C98767
slr0861	COG0027F	#FF8E8E
sll0846	COG3339S	#C98767
slr0862	COG2605R	#C27E3A
slr0863	COG0312R	#C27E3A
sll0844	COG0482J	#0066FF
sll0843	-	#333333
sll0842	COG0366G	#FF5353
slr0864	COG0488R	#C27E3A
slr0865	COG4301S	#C98767
sll0839	-	#333333
sll0838	COG0284F	#FF8E8E
sll0837	COG4783R	#C27E3A
slr0867	-	#333333
slr0868	-	#333333
slr0869	COG0699R	#C27E3A
slr0870	-	#333333
slr0871	-	#333333
slr0872	-	#333333
sll1165	COG0249L	#00FFFF
slr1243	COG1672R	#C27E3A
sll1164	-	#333333
sll1163	COG1917S	#C98767
sll1162	-	#333333
sll1161	COG2114T	#93BF96
sll1160	-	#333333
sll1159	COG1225O	#72FE95
sll1158	-	#333333
slr1245	COG0583K	#99CCFF
ssr2078	COG3293L	#00FFFF
slr1246	COG3293L	#00FFFF
sll1157	COG1662L	#00FFFF
sll1156	COG3677L	#00FFFF
sll1155	-	#333333
sll1154	COG2814G	#FF5353
slr1247	COG0226P	#CC3333
slr1248	COG0573P	#CC3333
slr1249	COG0581P	#CC3333
slr1250	COG1117P	#CC3333
slr1251	COG0652O	#72FE95
ssl2296	COG2154H	#FFA4A4
sll1151	COG1808S	#C98767
ssr2087	-	#333333
sll1150	-	#333333
slr1253	-	#333333
slr1254	COG3349S	#C98767
slr1255	COG1562I	#FF3333
sll1147	COG3788R	#C27E3A
slr1256	COG0831E	#FF7373
slr1257	COG0834ET	#A27AFE
slr1258	COG2859S	#C98767
slr1259	COG0491R	#C27E3A
slr1260	-	#333333
slr1261	COG0607P	#CC3333
slr1262	COG0730R	#C27E3A
slr1263	-	#333333
sll1961	COG1725K	#99CCFF
sll1960	-	#333333
sll1959	COG0483G	#FF5353
sll1958	COG0079E	#FF7373
sll1957	COG0640K	#99CCFF
slr2057	COG0580G	#FF5353
slr2058	COG0550L	#00FFFF
slr2059	COG1143C	#991616
slr2060	COG0204I	#FF3333
sll1956	COG4636S	#C98767
sll1954	-	#333333
ssl3692	-	#333333
slr2062	COG0675L	#00FFFF
sll1951	COG2931Q	#993366
sll1950	-	#333333
sll1949	-	#333333
slr2067	-	#333333
slr1986	-	#333333
ssr3383	-	#333333
sll1909	COG2264J	#0066FF
sll1908	COG0111HE	#C269FE
slr1990	-	#333333
slr1991	COG2114T	#93BF96
slr1992	COG0386O	#72FE95
slr1993	COG0183I	#FF3333
slr1994	COG1028IQR	#FFACEC
sll1906	-	#333333
sll1905	COG0642T	#93BF96
slr1998	COG0644C	#991616
slr1999	COG1724N	#CDD11B
slr2000	-	#333333
slr2001	COG4242QP	#CD85FE
slr2002	COG1181M	#A6CAA9
slr2003	-	#333333
sll1902	COG0625O	#72FE95
ssr3402	-	#333333
slr2004	-	#333333
slr1712	COG5464S	#C98767
sll1615	COG0486R	#C27E3A
sll1614	COG0474P	#CC3333
sll1613	-	#333333
sll1612	COG0285H	#FFA4A4
sll1611	COG3239I	#FF3333
slr1715	COG3415L	#00FFFF
slr1716	COG3335L	#00FFFF
sll1609	COG4636S	#C98767
sll1608	COG1305E	#FF7373
slr1717	COG1606R	#C27E3A
sll1606	COG1434S	#C98767
sll1605	COG0764I	#FF3333
slr1718	COG2045HR	#D0BCFE
slr1719	COG0778C	#991616
slr1720	COG0173J	#0066FF
slr1721	-	#333333
slr1722	COG0516F	#FF8E8E
slr1723	COG0395G	#FF5353
sll1601	COG3268S	#C98767
slr1724	-	#333333
ssl3127	COG4177E	#FF7373
sll1600	COG1108P	#CC3333
sll1599	COG1121P	#CC3333
sll1598	COG0803P	#CC3333
ssr2898	COG3293L	#00FFFF
sll1596	-	#333333
sll1595	COG0467T	#93BF96
slr1726	-	#333333
sll1594	COG0583K	#99CCFF
slr1727	COG0025P	#CC3333
sll1592	COG2197TK	#C4ABFE
sll1590	COG2205T	#93BF96
slr1728	COG2060P	#CC3333
slr1729	COG2216P	#CC3333
ssr2912	-	#333333
slr1730	COG2156P	#CC3333
slr1731	COG2205T	#93BF96
sll1586	COG2911S	#C98767
sll0254	COG3349S	#C98767
sll0253	-	#333333
slr0260	COG2109H	#FFA4A4
ssl0467	-	#333333
sll0252	COG2385D	#59955C
slr0261	COG0649C	#991616
slr0262	-	#333333
slr0263	-	#333333
slr0264	COG0429R	#C27E3A
slr0265	COG3293L	#00FFFF
sll0250	COG0452H	#FFA4A4
ssl0461	-	#333333
sll0249	COG0596R	#C27E3A
sll0248	COG0716C	#991616
sll0247	-	#333333
slr0267	COG1161R	#C27E3A
sll0245	COG0012J	#0066FF
sll0244	COG1087M	#A6CAA9
slr0269	-	#333333
slr0270	-	#333333
ssl0453	-	#333333
ssl0452	-	#333333
slr0271	-	#333333
slr0272	-	#333333
slr0273	-	#333333
sll0243	-	#333333
sll0242	-	#333333
sll0241	COG3292T	#93BF96
sll0240	COG3842E	#FF7373
sll0238	COG1178P	#CC3333
sll0237	COG1840P	#CC3333
ssl0438	COG0222J	#0066FF
sll0236	COG2866E	#FF7373
slr2079	COG2066E	#FF7373
ssr3532	-	#333333
slr2080	COG1403V	#80B584
slr2081	COG0287E	#FF7373
slr2082	COG0843C	#991616
slr2083	COG1845C	#991616
slr2084	COG4636S	#C98767
sll1988	COG1281O	#72FE95
sll1987	COG0376P	#CC3333
slr2087	COG1333O	#72FE95
slr2088	COG0028EH	#F0CBFE
slr2089	COG1657I	#FF3333
sll1985	COG5659L	#00FFFF
sll1984	COG3335L	#00FFFF
sll1983	COG3415L	#00FFFF
sll1982	COG5659L	#00FFFF
slr2092	COG4636S	#C98767
sll1981	COG0028EH	#F0CBFE
ssl3769	-	#333333
sll1980	COG0526OC	#D698FE
sll1979	-	#333333
slr2094	COG1494G	#FF5353
slr2095	COG3677L	#00FFFF
slr2096	COG1662L	#00FFFF
slr2097	COG2346R	#C27E3A
slr2098	COG3300T	#93BF96
slr2099	COG2205T	#93BF96
slr2100	COG3437KT	#B445FE
slr2101	COG1917S	#C98767
slr2102	COG0552U	#4BFE78
slr2103	COG0204I	#FF3333
slr2104	COG0642T	#93BF96
sll1973	COG0344S	#C98767
slr2105	COG3225N	#CDD11B
sll1430	COG0503F	#FF8E8E
sll1429	COG1787V	#80B584
ssl2789	-	#333333
sll1428	COG0385R	#C27E3A
slr1503	COG0667C	#991616
sll1427	COG0265O	#72FE95
sll1426	-	#333333
slr1505	-	#333333
sll1424	COG4372S	#C98767
sll1423	COG0664T	#93BF96
ssl2781	-	#333333
slr1506	COG4188R	#C27E3A
slr1507	COG0535R	#C27E3A
slr1508	COG0438M	#A6CAA9
slr1509	COG0168P	#CC3333
slr1510	COG0416I	#FF3333
sll1418	-	#333333
slr1512	COG3329R	#C27E3A
slr1513	-	#333333
sll1415	COG0061G	#FF5353
sll1414	-	#333333
ssr2549	-	#333333
slr1515	COG3307M	#A6CAA9
ssr2551	-	#333333
slr1516	COG0605P	#CC3333
slr1517	COG0473CE	#DFB0FF
ssr2554	-	#333333
slr1518	COG1575H	#FFA4A4
slr1519	COG1357S	#C98767
slr1520	COG1453R	#C27E3A
slr1521	COG2262R	#C27E3A
slr1522	COG5659L	#00FFFF
slr1523	COG2801L	#00FFFF
slr1524	COG3415L	#00FFFF
sll1411	COG2361S	#C98767
ssl2749	COG1669R	#C27E3A
sll2001	COG0260E	#FF7373
ssr3570	-	#333333
ssr3571	COG2161D	#59955C
slr2107	COG1682GM	#D54FD5
slr2108	COG1134GM	#D54FD5
sll1999	COG3385L	#00FFFF
sll1998	COG3335L	#00FFFF
sll1997	-	#333333
slr2110	COG1082G	#FF5353
slr2111	COG0399M	#A6CAA9
slr2112	COG3415L	#00FFFF
slr2113	COG3335L	#00FFFF
slr2114	COG0399M	#A6CAA9
slr2115	-	#333333
slr2116	COG0463M	#A6CAA9
slr2117	-	#333333
slr2118	COG0438M	#A6CAA9
slr2119	-	#333333
slr2120	COG1216R	#C27E3A
slr2121	COG1878R	#C27E3A
slr2122	COG1083M	#A6CAA9
slr2123	COG0111HE	#C269FE
slr2124	COG1028IQR	#FFACEC
slr2125	-	#333333
slr2126	COG1216R	#C27E3A
slr2127	-	#333333
slr2128	-	#333333
sll1995	COG0463M	#A6CAA9
sll1994	COG0113H	#FFA4A4
slr2130	COG0337E	#FF7373
slr2131	COG0841V	#80B584
sll1241	-	#333333
sll1240	-	#333333
sll1239	-	#333333
slr1322	COG0312R	#C27E3A
sll1237	COG2890J	#0066FF
slr1324	COG2205T	#93BF96
ssr2194	-	#333333
sll1236	-	#333333
slr1325	COG0317TK	#C4ABFE
sll1234	COG0499H	#FFA4A4
ssr2201	-	#333333
slr1327	COG1569R	#C27E3A
sll1233	COG1305E	#FF7373
sll1232	COG4636S	#C98767
sll1231	COG0438M	#A6CAA9
sll1229	COG2205T	#93BF96
sll1228	COG0642T	#93BF96
slr1329	COG0055C	#991616
slr1331	COG0612R	#C27E3A
slr1332	COG0304IQ	#FFACEC
sll1226	COG3259C	#991616
sll1225	COG4113R	#C27E3A
ssl2420	-	#333333
sll1224	COG1941C	#991616
sll1223	COG1034C	#991616
sll1222	COG4636S	#C98767
sll1221	COG1894C	#991616
sll1220	COG1905C	#991616
ssr2227	COG3293L	#00FFFF
slr1334	COG1109G	#FF5353
sll1219	-	#333333
sll1218	COG0451MG	#D568FD
sll1217	COG1573L	#00FFFF
ssr1375	-	#333333
slr0804	COG2027M	#A6CAA9
slr0806	COG0277C	#991616
sml0008	-	#333333
sll0819	-	#333333
slr0807	COG0533O	#72FE95
slr0808	COG0806J	#0066FF
slr0809	COG0451MG	#D568FD
slr0810	-	#333333
sll0818	COG0313R	#C27E3A
ssl1520	-	#333333
sll0817	COG0324J	#0066FF
sll0816	COG0673R	#C27E3A
sll0815	COG0330O	#72FE95
sll0814	COG2324S	#C98767
sll0813	COG1622C	#991616
slr0812	COG1521K	#99CCFF
slr0813	COG1215M	#A6CAA9
sll0812	-	#333333
ssr1386	-	#333333
slr0815	-	#333333
slr0816	COG1399R	#C27E3A
sll0811	COG3385L	#00FFFF
sll0810	-	#333333
sll0809	COG0095H	#FFA4A4
slr0817	COG1169HQ	#E8C6FF
slr0818	-	#333333
ssr1391	-	#333333
slr0820	COG2148M	#A6CAA9
ssl1507	COG3335L	#00FFFF
sll0808	-	#333333
slr0821	COG1977H	#FFA4A4
sll0807	COG0036G	#FF5353
slr0822	COG0474P	#CC3333
slr0823	COG5010U	#4BFE78
sll0804	COG1100R	#C27E3A
sll0803	-	#333333
sll0802	-	#333333
ssl1498	-	#333333
sll1263	COG0053P	#CC3333
sll1262	-	#333333
sll1261	COG0264J	#0066FF
sll1260	COG0052J	#0066FF
slr1336	COG0387P	#CC3333
sll1258	COG0717F	#FF8E8E
sll1257	COG3335L	#00FFFF
sll1256	COG3415L	#00FFFF
slr1338	COG4867R	#C27E3A
slr1339	-	#333333
slr1340	COG0456R	#C27E3A
sll1255	COG3385L	#00FFFF
sll1254	COG1253R	#C27E3A
slr1342	COG3395S	#C98767
slr1343	COG3046R	#C27E3A
sll1253	COG0617J	#0066FF
sll1252	COG2302S	#C98767
slr1344	COG0767Q	#993366
sll1251	COG4783R	#C27E3A
ssl2471	-	#333333
sll1250	COG4636S	#C98767
sll1249	COG0414H	#FFA4A4
slr1347	COG0288P	#CC3333
slr1348	COG1045E	#FF7373
slr1349	COG0166G	#FF5353
slr1350	COG3239I	#FF3333
sll1247	-	#333333
slr1351	COG0770M	#A6CAA9
sll1245	COG2010C	#991616
slr1353	-	#333333
sll1242	COG1032C	#991616
slr1956	-	#333333
slr1957	-	#333333
slr1958	-	#333333
sll1900	COG0110R	#C27E3A
ssl3580	COG0298O	#72FE95
sll1899	COG0109O	#72FE95
sll1898	COG1612O	#72FE95
slr1959	COG0847L	#00FFFF
sll1897	COG2947S	#C98767
ssl3573	COG4636S	#C98767
slr1962	COG4663Q	#993366
sll1895	COG5001T	#93BF96
slr1963	-	#333333
slr1964	-	#333333
slr1966	COG4678G	#FF5353
sll1893	COG0107E	#FF7373
sll1892	-	#333333
slr1968	COG4995S	#C98767
sll1891	-	#333333
sll1890	COG1429H	#FFA4A4
slr1969	COG0642T	#93BF96
ssr3341	-	#333333
slr1970	-	#333333
slr1971	COG4783R	#C27E3A
sll1888	COG0642T	#93BF96
ssl3549	-	#333333
slr1972	COG4956R	#C27E3A
sll1886	-	#333333
sll1885	-	#333333
slr1974	COG1160R	#C27E3A
sll1884	-	#333333
sll1883	COG1364E	#FF7373
sll1882	COG3063NU	#FF97E8
slr1975	COG2942G	#FF5353
sll1880	COG0432S	#C98767
sll1879	COG2197TK	#C4ABFE
sll1878	COG3842E	#FF7373
slr1977	COG0775F	#FF8E8E
slr1978	COG0619P	#CC3333
slr1979	COG0147EH	#F0CBFE
slr1980	COG2981E	#FF7373
sll1876	COG0635H	#FFA4A4
sll1875	COG5398P	#CC3333
sll1874	-	#333333
sll1873	-	#333333
sll1872	COG1316K	#99CCFF
sll1871	COG0642T	#93BF96
slr1982	COG0745TK	#C4ABFE
slr1983	COG2208TK	#C4ABFE
sll1870	COG1135P	#CC3333
sll1869	COG4638PR	#FF68DD
slr1984	COG0539J	#0066FF
sll1868	COG0358L	#00FFFF
sll1867	-	#333333
sll1866	COG0009J	#0066FF
sll1390	COG1512R	#C27E3A
ssl2717	-	#333333
sll1389	-	#333333
sll1388	COG0589T	#93BF96
smr0010	-	#333333
sll1387	-	#333333
sll1386	COG1555L	#00FFFF
slr1467	COG2082H	#FFA4A4
slr1468	COG2947S	#C98767
smr0011	-	#333333
slr1469	COG0594J	#0066FF
slr1470	-	#333333
slr1471	COG0706U	#4BFE78
slr1472	COG1847R	#C27E3A
sll1384	COG2214O	#72FE95
sll1383	COG0483G	#FF5353
sll1382	COG0633C	#991616
slr1474	COG0791M	#A6CAA9
sll1381	-	#333333
sll1380	-	#333333
slr1476	COG0540F	#FF8E8E
sll1378	-	#333333
sll1377	COG1215M	#A6CAA9
slr1478	COG1300S	#C98767
sll1376	COG1028IQR	#FFACEC
sll1374	COG2211G	#FF5353
sll1373	-	#333333
sll1372	COG4241S	#C98767
sll1371	COG0664T	#93BF96
sll1370	COG0836M	#A6CAA9
sll1369	COG2027M	#A6CAA9
sll1182	COG0723C	#991616
sll1181	COG1566V	#80B584
sll1180	COG2274V	#80B584
slr1265	COG0086K	#99CCFF
sll1178	COG2192O	#72FE95
slr1266	-	#333333
slr1267	COG0772D	#59955C
slr1269	COG0405E	#FF7373
slr1270	COG1538MU	#CEA8F4
slr1271	COG1922M	#A6CAA9
slr1272	-	#333333
slr1273	-	#333333
slr1274	COG4972NU	#FF97E8
slr1275	COG3166NU	#FF97E8
slr1276	COG3167NU	#FF97E8
slr1277	COG4796U	#4BFE78
sll1174	-	#333333
sll1173	-	#333333
slr1278	COG0037D	#59955C
sll1172	COG0498E	#FF7373
slr1279	COG0838C	#991616
slr1280	COG0377C	#991616
slr1281	COG0852C	#991616
slr1282	-	#333333
slr1283	COG3335L	#00FFFF
sll1170	COG2199T	#93BF96
sll1169	COG0664T	#93BF96
slr1285	COG0642T	#93BF96
sll1167	COG1680V	#80B584
ssr2130	-	#333333
slr1287	-	#333333
slr1288	-	#333333
sll1166	COG0628R	#C27E3A
sll1447	-	#333333
sll1446	COG1357S	#C98767
sll1444	COG0066E	#FF7373
sll1443	COG0504F	#FF8E8E
sll1442	-	#333333
slr1529	COG1221KT	#B445FE
sll1441	COG3239I	#FF3333
sll1440	COG0259H	#FFA4A4
slr1530	COG1354S	#C98767
sll1439	-	#333333
slr1531	COG0541U	#4BFE78
sll1437	COG3335L	#00FFFF
sll1436	COG3415L	#00FFFF
sll1435	COG0064J	#0066FF
sll1434	COG0744M	#A6CAA9
sll1433	COG0063G	#FF5353
sll1432	COG0378OK	#E697E6
slr1533	-	#333333
slr1534	COG1619V	#80B584
slr1152	COG1357S	#C98767
ssl2162	-	#333333
sll1104	COG0834ET	#A27AFE
sll1103	COG4664Q	#993366
sll1102	COG4665Q	#993366
sll1101	COG0051J	#0066FF
sll1099	COG0050J	#0066FF
sll1098	COG0480J	#0066FF
sll1097	COG0049J	#0066FF
sll1096	COG0048J	#0066FF
sll1095	COG3222S	#C98767
slr1159	COG0151F	#FF8E8E
slr1160	-	#333333
ssl2153	COG0698G	#FF5353
sll1094	COG3335L	#00FFFF
slr1161	COG0590FJ	#A827FE
slr1162	COG3224S	#C98767
slr1163	COG3659M	#A6CAA9
ssl2148	-	#333333
slr1164	COG0209F	#FF8E8E
slr1165	COG2046P	#CC3333
slr1166	COG0438M	#A6CAA9
sll1092	COG3744S	#C98767
ssl2138	COG5559S	#C98767
slr1167	COG0371C	#991616
slr1168	-	#333333
slr1169	-	#333333
slr1170	COG2119S	#C98767
slr1171	COG0386O	#72FE95
sll1089	-	#333333
sll1087	COG0591ER	#B89AFE
sll1086	-	#333333
slr1173	COG4402S	#C98767
ssr1951	-	#333333
slr1174	COG4587R	#C27E3A
sll1085	COG0578C	#991616
sll1566	COG0380G	#FF5353
slr1670	-	#333333
slr1672	COG0554C	#991616
slr1673	COG0566J	#0066FF
slr1674	-	#333333
slr1675	COG0375R	#C27E3A
slr1676	-	#333333
slr1677	COG0763M	#A6CAA9
slr1678	COG0261J	#0066FF
ssr2799	COG0211J	#0066FF
slr1679	COG2173M	#A6CAA9
sll1564	COG0119E	#FF7373
ssr2802	COG1134GM	#D54FD5
ssr2803	-	#333333
ssr2806	-	#333333
sll1563	-	#333333
sll1562	-	#333333
sll1561	COG1012C	#991616
slr1681	-	#333333
